title,price,reviews,rating,company,customerreviews,primaryprice,brand,totalreviews
Usha Maxx Air 400mm Pedestal Fan (White)," 2,479.00",1024,4.1,Usha,4.1 out of 5 stars,,Usha,"1,024 customer reviews"
"Gorilla Efficio Energy Saving 5 Star Rated 3 Blade Ceiling Fan With Remote Control and BLDC Motor, 1200mm- White"," 3,240.00",517,4.3,Gorilla,4.3 out of 5 stars,,Gorilla,517 customer reviews
LONGWAY Creta 1200 MM HIGH Speed (100% Copper) Ceiling Fan - 380 RPM - 2 Years Warranty (Smoked Brown) Pack of 2," 2,190.00",1,5.0,Longway,5.0 out of 5 stars,,Longway,1 customer review
Lifelong Wonder Cool 1200mm Ceiling Fan (Ivory)," 1,199.00",228,3.5,Lifelong,3.5 out of 5 stars,,Lifelong,228 customer reviews
"Orient Electric Wendy Ceiling Fan Azure Blue - Silver 48"" 1200Mm"," 2,400.00",115,4.1,Orient,4.1 out of 5 stars,,Orient,115 customer reviews
Crompton Greaves Aura Premium 48-inch 70-Watt Ceiling Fan (Titanium)," 2,740.00",78,3.8,Crompton Greaves,3.8 out of 5 stars,,Crompton Greaves,78 customer reviews
Goank Mini Fan(Multicolor), 540.00,2,2.9,Goank,2.9 out of 5 stars,,Goank,2 customer reviews
Usha Maxx Air Comfy 400mm Pedestal Fan with Remote (White),,338,3.9,Usha,3.9 out of 5 stars,,Usha,338 customer reviews
Luminous Buddy 230mm 55-Watt High Speed Personal Fan (Royal Orange)," 1,450.00",90,3.4,Luminous,3.4 out of 5 stars,,Luminous,90 customer reviews
Usha Striker One 1200 mm 3 Blades Ceiling Fan (Rich White)," 1,999.00",13,4.0,Usha,4.0 out of 5 stars,,Usha,13 customer reviews
Orient Ceiling Fan Wendy Metallic Black Gold 1200 MM (48 inch)," 2,380.00",29,4.1,Orient,4.1 out of 5 stars,,Orient,29 customer reviews
"Gorilla Efficio Energy Saving 5 Star Rated 3 Blade Ceiling Fan With Remote Control and BLDC Motor, 1200mm- Ivory"," 3,240.00",242,4.3,Gorilla,4.3 out of 5 stars,,Gorilla,242 customer reviews
DIGISMART 1200 MM HIGH Speed 390 RPM BEE Approved 5 Star Rated APSRA Deco Ceiling Fan- 2 Year Warranty Brown,,5,5.0,DIGISMART,5.0 out of 5 stars,,DIGISMART,5 customer reviews
Usha Bellissa 1200mm 78-watt Goodbye Dust Ceiling Fan with Anti Dust Feature (Corn Silk)," 2,575.00",3,3.2,Usha,3.2 out of 5 stars,,Usha,3 customer reviews
Orient Electric Wendy 1200mm Ceiling Fan with Remote (Pearl White/Walnut)," 3,020.00",nan,nan,Orient Electric,,,Orient Electric,
Havells Leganza 1200mm Ceiling Fan (Off-white and Silver)," 2,998.00",58,3.6,Havells,3.6 out of 5 stars,,Havells,58 customer reviews
Luminous 150 mm Vento Axial Exhaust Fan, 887.00,156,3.3,Luminous,3.3 out of 5 stars,,Luminous,156 customer reviews
DEALCROX 4 Blades Rechargeable USB Mini Portable Air Cooling Fan on a Strap with Clamp (Multicolour), 579.00,20,3.2,DEALCROX,3.2 out of 5 stars,,DEALCROX,20 customer reviews
